question,query
Tüm yayınların başlıklarını listele.,SELECT baslik
Numarası 1 olan sürücülerin numaralarını bul.,SELECT numara WHERE numara EQL 1
Kitaplar tablosunda kategorisi Roman olan kitapların kategorilerini getir.,SELECT kategori WHERE kategori EQL Roman
Tüm sürücülerin uyruklarını getir.,SELECT uyruk
Sinemalardan numarası 1 olan sinemaların adlarını göster.,SELECT ad WHERE numara EQL 1
Bütün öğrencilerin yaşlarını göster.,SELECT yas
Şarkılar tablosundan ülkesi Türkiye olan şarkıların adlarını getir.,SELECT ad WHERE ulke EQL Türkiye
Tüm şehirlerin sadece alanlarını göster.,SELECT alan
Adı Anthony olan yöneticilerin numaralarını listele.,SELECT numara WHERE ad EQL Anthony
Veritabanındaki tüm çiftliklerin domuz sayılarını yazdır.,SELECT domuz_sayisi
Tüm telefonların çip modellerini görüntüle.,SELECT cip_modeli
Bütün sinemaların numaralarını göster.,SELECT numara
Çiftlikler tablosundaki en büyük numarayı göster.,SELECT max(numara)
Keçi sayısı 2 olan tüm çiftliklerin inek sayılarını getir.,SELECT inek_sayisi WHERE keci_sayisi EQL 2
Çıkış tarihi 1900 olan şarkıların çıkış tarihlerini getir.,SELECT cikis_tarihi WHERE cikis_tarihi EQL 1900
Müşterilerden numarası 1 olan müşterilerin e-postalarını getir.,SELECT eposta WHERE numara EQL 1
Şarkılar tablosunda türü Slow olan şarkıların sanatçılarını getir.,SELECT sanatci WHERE tur EQL Slow
Veritabanındaki başlığı Artificial Intelligence olan yayınların başlıklarını yazdır.,SELECT baslik WHERE baslik EQL Artificial Intelligence
Fiyatı 120 olan ürünlerin numaralarını bul.,SELECT numara WHERE fiyat EQL 120
Çiftlikler tablosundaki en büyük koyun sayısını listele.,SELECT max(koyun_sayisi)
Cihazı Apple olan cihazların numaralarını bul.,SELECT numara WHERE cihaz EQL Apple
Insanlar tablosundan numarası 1 olan insanların doğum tarihlerini getir.,SELECT dogum_tarihi WHERE numara EQL 1
Numarası 1 olan yayınların alıntılarını listele.,SELECT alinti WHERE numara EQL 1
Uyruğu Alman olan oyuncuların numaralarını listele.,SELECT numara WHERE uyruk EQL Alman
Çiftlikler tablosundan numarası 1 olan çiftliklerin koyun sayılarını getir.,SELECT koyun_sayisi WHERE numara EQL 1
Stadyumlar tablosunda açılış yılı 1957 olan stadyumların adlarını getir.,SELECT ad WHERE acilis_yili EQL 1957
Yayınlar tablosunda yılı 2021 olan yayınların başlıklarını getir.,SELECT baslik WHERE yil EQL 2021
Veritabanındaki adı Joseph olan personellerin e-postalarını yazdır.,SELECT eposta WHERE ad EQL Joseph
Departmanlar tablosunda numarası 1 olan departmanların adlarını getir.,SELECT ad WHERE numara EQL 1
Personeller tablosunda numarası 1 olan personellerin cinsiyetlerini getir.,SELECT cinsiyet WHERE numara EQL 1
Tüm müzelerin sadece adlarını göster.,SELECT ad
Filmlerden yönetmeni Frank Darabont olan filmlerin başlıklarını getir.,SELECT baslik WHERE yonetmen EQL Frank Darabont
Çiftlik tablosu içerisinde bulunan boğa sayılarını ekrana getir.,SELECT boga_sayisi
Personellerden telefonu 1 505-644-9320 olan personellerin cinsiyetlerini getir.,SELECT cinsiyet WHERE telefon EQL 1 505-644-9320
Öğretmenlerden numarası 1 olan öğretmenlerin yaşlarını göster.,SELECT yas WHERE numara EQL 1
Adı MATH101 olan tüm derslerin kredilerini getir.,SELECT kredi WHERE ad EQL MATH101
Yayınlardan başlığı Artificial Intelligence olan yayınların numaralarını getir.,SELECT numara WHERE baslik EQL Artificial Intelligence
Keçi sayısı 2 olan çiftliklerin keçi sayılarını bul.,SELECT keci_sayisi WHERE keci_sayisi EQL 2
Açıklaması Airbus A340-600 olan uçakların hızlarını getir.,SELECT hiz WHERE aciklama EQL Airbus A340-600
Cihazlar tablosunda numarası 1 olan cihazların işletim sistemlerini getir.,SELECT isletim_sistemi WHERE numara EQL 1
Mağazalar içerisinde en yüksek numara kaçtır?,SELECT max(numara)
Arabalardan en büyük numarayı getir.,SELECT max(numara)
Çiftlikler içerisinde en yüksek boğa sayısı kaçtır?,SELECT max(boga_sayisi)
Trenler tablosundan kalkışı Chennai olan trenlerin adlarını getir.,SELECT ad WHERE kalkis EQL Chennai
Alanı 5343 olan şehirlerin alanlarını bul.,SELECT alan WHERE alan EQL 5343
Mağazalardan adı A Giyim olan mağazaların adlarını göster.,SELECT ad WHERE ad EQL A Giyim
Veritabanındaki projelerden en büyük numarayı yazdır.,SELECT max(numara)
Düzeyi 5 olan tüm yöneticilerin numaralarını getir.,SELECT numara WHERE duzey EQL 5
Tüm demiryollarının sadece kurucularını göster.,SELECT kurucu
Maaşı 80000 olan çalışanların numaralarını bul.,SELECT numara WHERE maas EQL 80000
Veritabanındaki adı Anthony olan yöneticilerin numaralarını yazdır.,SELECT numara WHERE ad EQL Anthony
Yönetmeni Frank Darabont olan filmlerin yönetmenlerini bul.,SELECT yonetmen WHERE yonetmen EQL Frank Darabont
Veritabanındaki tüm yöneticilerin yaşlarını yazdır.,SELECT yas
Hemşireler tablosunda adı Lisa olan hemşirelerin kayıtlarını getir.,SELECT kayit WHERE ad EQL Lisa
Çiftliklerden inek sayısı 10 olan çiftliklerin koyun sayılarını göster.,SELECT koyun_sayisi WHERE inek_sayisi EQL 10
Numarası 1 olan şarkıların dillerini listele.,SELECT dil WHERE numara EQL 1
Beygir gücü 163 olan arabaların ülkelerini getir.,SELECT ulke WHERE beygir_gucu EQL 163
Tüm konferansların sadece adlarını göster.,SELECT ad
Havalimanlarının iç yolcularını göster.,SELECT ic_yolcu
Düzeyi 5 olan yöneticilerin ülkelerini listele.,SELECT ulke WHERE duzey EQL 5
Iç yolcusu 63648 olan havalimanlarının numaralarını listele.,SELECT numara WHERE ic_yolcu EQL 63648
Pozisyonu Clinical Nurse olan hemşirelerin adlarını listele.,SELECT ad WHERE pozisyon EQL Clinical Nurse
Yayınlardan yayıncısı Elsevier olan yayınların numaralarını getir.,SELECT numara WHERE yayinci EQL Elsevier
Şehirlerden numarası 1 olan şehirlerin alanlarını göster.,SELECT alan WHERE numara EQL 1
Cihazı Apple olan cihazların numaralarını getir.,SELECT numara WHERE cihaz EQL Apple
Tüm restoranların tiplerini getir.,SELECT tip
Adı Joseph olan personellerin adlarını listele.,SELECT ad WHERE ad EQL Joseph
Veritabanındaki numarası 1 olan restoranların tiplerini yazdır.,SELECT tip WHERE numara EQL 1
Ülkesi Almanya olan arabaların yıllarını bul.,SELECT yil WHERE ulke EQL Almanya
Telefonlardan modeli iPhone olan telefonların ülkelerini göster.,SELECT ulke WHERE model EQL iPhone
Bütün hemşirelerin numaralarını getir.,SELECT numara
Tüm pilotların numaralarını getir.,SELECT numara
Kategorisi Roman olan kitapların başlıklarını getir.,SELECT baslik WHERE kategori EQL Roman
Arabalar tablosundan numarası 1 olan arabaların modellerini getir.,SELECT model WHERE numara EQL 1
